fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len
"760","21609","45956",Woodland,Assumed woodland,Scotland,1444.96601011,3.85818293905,38581.8294372559,1444.96601010143
"761","21611","45958",Woodland,Assumed woodland,Scotland,1145.47062059,4.0425776141,40425.7761688232,1145.4706205943
"762","21613","45960",Woodland,Assumed woodland,Scotland,1066.8860742,6.2613792999,62613.7929840088,1066.88607420102
"763","21615","45962",Woodland,Assumed woodland,Scotland,969.809820711,1.6371939155,16371.9391326904,969.809820709511
"764","21616","45963",Woodland,Assumed woodland,Scotland,4863.97559009,33.0728415358,330728.415267944,4863.97559008795
"765","21618","45965",Woodland,Assumed woodland,Scotland,211.148798022,0.2330357404,2330.35737609863,211.148798020615
"766","21620","45967",Woodland,Assumed woodland,Scotland,2560.05879986,6.0926637657,60926.6376953125,2560.05879986055
"767","21621","45968",Woodland,Assumed woodland,Scotland,781.029844981,3.3276123767,33276.1237792969,781.029844983053
"768","21629","45976",Woodland,Assumed woodland,Scotland,396.546390948,0.3716881125,3716.8811340332,396.546390947632
"769","21632","45979",Woodland,Assumed woodland,Scotland,1602.30852151,1.6332511584,16332.5115966797,1602.30852151361
"770","21634","45981",Woodland,Assumed woodland,Scotland,566.728519054,1.7332677494,17332.6774291992,566.728519054933
"771","21639","45986",Woodland,Assumed woodland,Scotland,956.783123922,2.20671888695,22067.1888122559,956.783123919786
"772","21640","45987",Woodland,Assumed woodland,Scotland,643.0559351,1.0645606192,10645.6061859131,643.05593510142
"773","21641","45988",Woodland,Assumed woodland,Scotland,416.629861285,0.5978061163,5978.06118774414,416.6298612836
"774","21643","45990",Woodland,Assumed woodland,Scotland,195.405465918,0.24112778935,2411.27783203125,195.405465920465
"775","21645","45992",Woodland,Assumed woodland,Scotland,357.273404069,0.7758125443,7758.12542724609,357.273404070199
"776","21650","45997",Woodland,Assumed woodland,Scotland,636.12953093,1.18118952395,11811.8953094482,636.129530929124
"777","21653","46000",Woodland,Assumed woodland,Scotland,349.399075673,0.741905755001,7419.05754089355,349.399075672003
"778","21654","46001",Woodland,Assumed woodland,Scotland,307.868068478,0.35413291845,3541.32919311523,307.868068477467
"779","21655","46002",Woodland,Assumed woodland,Scotland,472.545316943,1.2244127708,12244.127746582,472.54531694184
"780","21656","46003",Woodland,Assumed woodland,Scotland,301.717928124,0.5931436825,5931.43682861328,301.717928123475
"781","21659","46006",Woodland,Assumed woodland,Scotland,1234.17091954,3.92987173965,39298.7174682617,1234.17091953662
