fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len,x_coord,y_coord,satellite1,satellite2
"1014","23496","47843",Woodland,Assumed woodland,Scotland,284.709124862,0.51957590965,5195.75909423828,284.709124863249,262113.249634,662892.712857,0.109177298843861,0.188201293349266
"1015","23497","47844",Woodland,Assumed woodland,Scotland,2178.15923265,12.6814497034,126814.497131348,2178.15923264179,311421.564887,662564.482441,-0.0613184198737144,-0.0565900206565857
"1016","23498","47845",Woodland,Assumed woodland,Scotland,274.198040281,0.38850200615,3885.01997375488,274.19804028073,279065.083792,662910.932881,-0.0975402146577835,-0.0707046538591385
"1017","23499","47846",Woodland,Assumed woodland,Scotland,288.461753578,0.3300874594,3300.87460327148,288.461753579173,280072.922572,662902.831645,0.0203495249152184,-0.0181340333074331
"1018","23500","47847",Woodland,Assumed woodland,Scotland,1496.04024712,12.8578519993,128578.520019531,1496.04024712446,314560.142644,662715.637264,-0.0299493167549372,-0.037199143320322
"1019","23501","47848",Woodland,Assumed woodland,Scotland,1677.07527407,5.664570078,56645.7007598877,1677.07527407085,325932.81268,662674.011004,-0.0781411305069923,-0.0363039635121822
"1020","23505","47852",Woodland,Assumed woodland,Scotland,285.350425341,0.29458297295,2945.82974243164,285.350425339076,279682.598687,663015.923205,0.0291969794780016,0.0111312419176102
"1021","23506","47853",Woodland,Assumed woodland,Scotland,1894.9358151,3.99446550345,39944.6550445557,1894.9358151033,326209.322023,662840.367714,-0.0811091959476471,-0.0556088387966156
"1022","23509","47856",Woodland,Assumed woodland,Scotland,455.815653066,1.0536968974,10536.968963623,455.815653062469,289644.218905,663010.782064,-0.0104260882362723,-0.018936874344945
"1023","23514","47861",Woodland,Assumed woodland,Scotland,313.380255219,0.36052741765,3605.27421569824,313.380255218988,321893.841679,663120.82088,-0.0766437575221062,-0.0589418895542622
"1024","23518","47865",Woodland,Assumed woodland,Scotland,223.982561027,0.2838363,2838.3630065918,223.982561026587,252290.979673,663132.037819,-0.0243806950747967,-0.0468725711107254
